DateTime,AddedIPs,RemovedIPs
1602129147,9,0
1602129574,61,32
1602130294,57,53
1602131100,72,49
1602131734,55,44
1602132454,60,52
1602133015,5,10
1602133174,45,30
1602133894,56,50
1602134614,60,42
1602134907,5,11
1602135334,70,50
1602136055,67,49
1602136864,72,57
1602137044,1,0
1602137494,44,46
1602138215,62,53
1602138936,88,57
1602139723,81,57
1602140374,74,56
1602141094,63,62
1602141637,10,3
1602141814,77,59
1602142594,82,45
1602143254,59,48
1602143559,9,5
1602143974,71,42
1602144694,73,59
1602145486,83,79
1602146135,83,55
1602146854,53,65
1602147431,12,2
1602147574,117,79
1602148295,128,78
1602149014,112,67
1602149542,560,23
1602149735,87,46
1602150454,74,36
1602151174,95,43
1602151461,10,10
1602151894,91,56
1602152614,646,40
1602153420,90,68
1602154054,61,44
1602154774,61,41
1602155301,6,7
1602155494,60,51
1602156214,63,57
1602156935,59,48
1602157215,39,1
1602157654,60,40
1602158374,82,47
1602159175,75,48
1602159814,65,52
1602160535,51,37
1602161079,8,0
1602161255,75,47
1602161974,60,45
1602162695,67,48
1602162982,7,12
1602163414,75,67
1602164135,59,54
1602164924,75,59
1602165575,83,60
1602166295,69,53
1602166873,8,10
1602167014,92,45
1602167735,93,41
1602168454,86,65
1602168739,6,13
1602169175,57,44
1602169895,98,95
1602170403,1,0
1602170687,78,71
1602171335,66,69
1602171847,5,3
1602172054,73,35
1602172602,8,0
1602172775,59,54
1602173494,70,44
1602174214,74,43
1602174502,8,21
1602174934,94,66
1602175654,92,46
1602176456,75,77
1602177094,48,57
1602177814,84,38
1602178366,21,0
1602178774,101,90
1602179495,56,61
1602180288,79,97
1602180725,1,0
1602180934,46,60
1602181654,45,45
1602182196,27,12
1602182375,56,36
1602183094,38,44
1602183814,61,29
1602184107,9,18
1602184534,48,41
1602185254,52,35
1602186055,86,65
1602186485,16,2
1602186694,53,40
1602187414,43,50
1602188135,38,33
1602188854,43,93
1602189574,50,43
1602189881,16,52
1602190294,90,48
1602191014,53,31
1602191809,43,66
1602192454,34,56
1602193174,41,42
1602193703,6,25
1602193894,38,26
1602194614,40,41
1602195334,38,50
1602195680,12,7
1602196054,53,41
1602196775,44,38
1602197494,34,27
1602198454,34,62
1602199174,41,33
1602199894,34,29
1602200614,37,36
1602201126,12,5
1602201415,46,78
1602202054,70,45
1602202774,66,51
1602203286,11,19
1602203495,52,34
1602204214,45,40
1602204934,39,50
1602205238,10,19
1602205654,57,55
1602206375,37,53
1602207171,57,66
1602207814,44,35
1602208534,42,33
1602209077,6,13
1602209254,44,34
1602209974,36,31
1602210695,36,42
1602210982,29,12
1602211414,41,33
1602212134,58,97
1602212942,59,70
1602213575,51,43
1602214084,3,0
1602214295,48,35
1602215014,41,65
1602215790,57,51
1602216454,50,30
1602216764,14,17
1602217174,44,37
1602217894,48,41
1602218711,62,53
1602219334,45,31
1602220054,35,39
1602220574,10,23
1602220774,47,35
1602221495,44,37
1602222215,38,40
1602222755,6,14
1602222934,52,37
1602223654,50,38
1602224403,55,39
1602224659,10,16
1602225094,32,62
1602225814,40,51
1602226534,70,46
1602227254,63,38
1602227975,58,52
1602228510,10,16
1602228694,67,60
1602229414,71,42
1602230134,75,56
1602230426,24,24
1602230855,59,62
1602231574,64,55
1602232364,105,68
1602233015,72,62
1602233734,67,70
1602234269,11,23
1602234454,57,103
1602235175,47,98
1602235894,62,4174
1602236199,9,16
1602236615,48,63
1602237334,46,67
1602238167,113,78
1602238775,32,57
1602239495,45,55
1602240036,21,6
1602240215,61,43
1602240935,72,43
1602241655,77,45
1602241970,9,0
1602242374,47,41
1602243094,48,44
1602243890,62,51
1602244534,42,54
1602245048,13,12
1602245323,77,58
1602245798,9,0
1602245975,44,43
1602246695,56,41
1602247415,93,48
1602247716,11,12
1602248135,64,59
1602248855,67,41
1602249661,58,72
1602250294,43,45
1602251014,52,40
1602251538,7,11
1602251734,40,60
1602252454,37,50
1602253175,48,66
1602253497,8,0
1602253895,51,58
1602254615,33,66
1602255435,56,48
1602256054,37,55
1602256775,43,59
1602257495,46,50
1602257765,3,0
1602258355,54,62
1602258935,50,40
1602259713,71,40
1602260201,6,12
1602260374,45,55
1602261095,55,68
1602261814,60,61
1602262121,7,15
1602262534,72,71
1602263255,54,49
1602264046,76,83
1602264694,45,82
1602265414,51,41
1602265949,7,18
1602266134,58,51
1602266854,46,39
1602267574,46,48
1602267872,9,0
1602268296,45,41
1602269014,44,48
1602269734,49,41
1602270454,41,51
1602270765,9,14
1602271174,70,45
1602271894,76,48
1602272694,115,73
1602273335,79,56
1602274054,52,36
1602274326,11,10
1602274591,3,21
1602274774,37,37
1602275494,55,31
1602276214,56,55
1602276934,36,79
1602277514,7,38
1602277654,61,53
1602278375,37,32
1602279095,55,30
1602279408,21,0
1602279814,60,35
1602280535,58,36
1602281255,77,32
1602281974,71,44
1602282694,46,39
1602283236,25,25
1602283414,45,36
1602284134,40,33
1602284855,52,21
1602285149,15,11
1602285574,39,39
1602286295,43,31
1602287106,44,58
1602287734,38,31
1602288454,34,57
1602288980,32,27
1602289174,43,52
1602289894,38,51
1602290615,62,43
1602290902,12,0
1602291334,59,35
1602292054,46,52
1602292865,54,55
1602293494,29,37
1602294214,29,39
1602294746,14,10
1602294935,29,37
1602295654,25,43
1602296375,41,36
1602296668,13,17
1602297094,25,37
1602297815,45,40
1602298617,52,65
1602299255,57,44
1602299974,66,52
1602300509,10,12
1602300695,53,48
1602301472,50,39
1602302134,38,37
1602302855,40,47
1602303379,18,22
1602303631,55,41
1602304294,43,45
1602305015,37,33
1602305303,13,0
1602305735,43,33
1602306455,93,27
1602307268,49,48
1602307894,39,39
1602308615,44,41
1602309156,14,0
1602309335,55,48
1602310054,35,42
1602310774,43,47
1602311116,11,0
1602311495,74,44
1602312215,73,39
1602313019,80,86
1602313654,65,66
1602314375,70,50
1602314920,7,11
1602315094,44,58
1602315815,61,54
1602316535,45,77
1602316857,13,8
1602317255,42,47
1602317975,94,56
1602318251,22,1
1602318769,93,82
1602319414,61,55
1602320134,54,61
1602320668,12,12
1602320854,51,48
1602321574,66,43
1602322295,4181,559
1602322580,23,18
1602323015,63,36
1602323734,48,32
1602324553,49,113
1602325175,49,26
1602325894,39,38
1602326454,24,13
1602326614,47,44
1602327334,45,64
1602328054,47,68
1602328353,4,0
1602328774,86,45
1602329494,58,41
1602330292,66,75
1602330934,48,45
1602331654,27,70
1602332176,12,9
1602332375,37,50
1602332886,15,5
1602333095,41,43
1602333814,49,85
1602334104,13,6
1602334535,35,59
1602335254,42,68
1602336076,46,47
1602336695,59,41
1602337415,40,52
1602337943,11,6
1602338134,38,39
1602338854,39,35
1602339574,45,47
1602340295,58,48
1602341014,46,29
1602341834,53,50
1602342455,47,46
1602343175,56,38
1602343705,9,0
1602343894,44,48
1602344615,47,36
1602345129,3,0
1602345334,43,41
1602345640,5,2
1602346054,50,53
1602346774,43,52
1602347566,85,84
1602348214,55,59
1602348934,40,50
1602349515,6,19
1602349894,51,85
1602350615,94,54
1602351415,59,76
1602352054,35,43
1602352774,38,44
1602353326,9,0
1602353494,93,44
1602354215,79,49
1602354935,75,33
1602355236,29,18
1602355655,49,35
1602356374,40,56
1602357171,52,80
1602357815,36,69
1602358534,41,79
1602359067,5,0
1602359255,41,107
1602359975,47,71
1602360695,46,46
1602361415,60,47
1602361947,20,40
1602362192,55,50
1602362854,32,57
1602363574,66,53
1602364294,70,49
1602364835,16,14
1602365014,55,46
1602365735,43,41
1602366454,33,63
1602366749,16,29
1602367174,35,61
1602367895,36,77
1602368703,44,57
1602369335,31,33
1602370054,47,32
1602370601,4,0
1602370774,35,43
1602371494,32,55
1602372215,39,26
1602372934,46,52
1602373654,29,41
1602374374,36,39
1602375094,39,37
1602375415,5,18
1602375814,37,35
1602376534,36,44
1602376806,10,0
1602377323,56,78
1602377974,47,52
1602378695,36,42
1602379223,11,16
1602379414,63,37
1602380135,70,45
1602380855,34,37
1602381144,8,6
1602381574,30,32
1602382294,41,32
1602383096,48,40
1602383735,38,36
1602384454,39,52
1602385030,6,16
1602385175,26,42
1602385895,28,52
1602386615,31,53
1602386907,11,21
1602387335,39,47
1602388055,39,41
1602388850,48,63
1602389494,35,26
1602390214,30,42
1602390744,17,11
1602390934,34,43
1602391447,8,5
1602391655,39,28
1602392374,30,48
1602392900,13,0
1602393094,49,79
1602393815,38,45
1602394534,37,40
1602394819,15,8
1602395254,42,45
1602395974,34,46
1602396765,42,57
1602397414,24,45
1602398134,58,64
1602398657,10,10
1602398854,72,69
1602399124,1,0
1602399574,61,57
1602400294,38,58
1602400589,16,17
1602401015,41,66
1602401734,44,45
1602402535,67,46
1602403174,39,44
1602403895,46,54
1602404428,14,0
1602404614,43,85
1602405335,39,77
1602406112,62,56
1602406347,12,27
1602406774,49,48
1602407495,52,56
1602408284,53,63
1602408935,49,48
1602409654,46,52
1602410244,9,5
1602410376,54,39
1602411100,45,37
1602411815,35,48
1602412106,7,7
